Date,Amount,Category,Description
2025-01-01,221.67,Entertainment,Games
2025-01-02,15.64,Transport,Fuel
2025-01-03,289.8,Transport,Fuel
2025-01-04,272.54,Entertainment,Movie
2025-01-05,90.74,Utilities,Electricity Bill
2025-01-06,289.02,Utilities,Electricity Bill
2025-01-07,142.67,Utilities,Water Bill
2025-01-08,64.46,Utilities,Electricity Bill
2025-01-09,64.1,Transport,Fuel
2025-01-10,156.85,Food,Groceries
2025-01-11,10.84,Transport,Fuel
2025-01-12,199.44,Transport,Taxi
2025-01-13,54.4,Food,Lunch
2025-01-14,60.57,Utilities,Electricity Bill
2025-01-15,193.91,Utilities,Water Bill
2025-01-16,254.9,Utilities,Electricity Bill
2025-01-17,193.03,Entertainment,Concert
2025-01-18,241.18,Food,Groceries
2025-01-19,120.47,Utilities,Water Bill
2025-01-20,63.22,Utilities,Water Bill
2025-01-21,66.68,Transport,Taxi
2025-01-22,233.93,Food,Dinner
2025-01-23,31.38,Utilities,Internet
2025-01-24,146.75,Transport,Taxi
2025-01-25,188.22,Transport,Bus
2025-01-26,40.86,Food,Lunch
2025-01-27,287.32,Utilities,Water Bill
2025-01-28,98.09,Entertainment,Games
2025-01-29,202.43,Food,Lunch
2025-01-30,15.68,Transport,Taxi
2025-01-31,157.56,Food,Lunch
2025-02-01,249.32,Utilities,Electricity Bill
2025-02-02,298.06,Utilities,Internet
2025-02-03,214.63,Entertainment,Concert
2025-02-04,42.88,Food,Dinner
2025-02-05,92.72,Transport,Bus
2025-02-06,8.03,Food,Groceries
2025-02-07,216.03,Food,Groceries
2025-02-08,143.94,Entertainment,Movie
2025-02-09,248.51,Utilities,Internet
2025-02-10,200.66,Entertainment,Movie
2025-02-11,186.76,Entertainment,Concert
2025-02-12,135.31,Transport,Fuel
2025-02-13,244.24,Utilities,Internet
2025-02-14,61.86,Utilities,Internet
2025-02-15,46.47,Entertainment,Concert
2025-02-16,237.0,Transport,Fuel
2025-02-17,219.22,Food,Dinner
2025-02-18,276.11,Entertainment,Games
2025-02-19,114.39,Transport,Bus
2025-02-20,51.88,Entertainment,Movie
2025-02-21,9.28,Food,Dinner
2025-02-22,6.84,Entertainment,Movie
2025-02-23,274.88,Transport,Bus
2025-02-24,189.39,Transport,Taxi
2025-02-25,140.62,Transport,Taxi
2025-02-26,69.07,Utilities,Electricity Bill
2025-02-27,100.61,Utilities,Electricity Bill
2025-02-28,158.77,Entertainment,Movie
2025-03-01,148.33,Utilities,Internet
2025-03-02,128.28,Food,Groceries
2025-03-03,123.25,Food,Lunch
2025-03-04,224.89,Entertainment,Movie
2025-03-05,162.14,Food,Lunch
2025-03-06,242.99,Entertainment,Concert
2025-03-07,296.2,Transport,Taxi
2025-03-08,138.12,Entertainment,Movie
2025-03-09,132.89,Food,Lunch
2025-03-10,201.09,Entertainment,Concert
2025-03-11,184.0,Entertainment,Concert
2025-03-12,90.29,Utilities,Internet
2025-03-13,162.9,Transport,Taxi
2025-03-14,147.34,Transport,Bus
2025-03-15,181.03,Utilities,Electricity Bill
2025-03-16,191.79,Entertainment,Movie
2025-03-17,24.21,Food,Dinner
2025-03-18,275.42,Utilities,Internet
2025-03-19,120.33,Utilities,Water Bill
2025-03-20,88.24,Food,Lunch
2025-03-21,27.24,Utilities,Electricity Bill
2025-03-22,184.61,Transport,Bus
2025-03-23,14.5,Utilities,Electricity Bill
2025-03-24,160.13,Utilities,Internet
2025-03-25,261.43,Entertainment,Concert
2025-03-26,89.33,Utilities,Water Bill
2025-03-27,169.25,Utilities,Water Bill
2025-03-28,125.17,Transport,Fuel
2025-03-29,295.75,Utilities,Electricity Bill
2025-03-30,67.21,Food,Dinner
2025-03-31,90.1,Transport,Fuel
2025-04-01,247.11,Entertainment,Movie
2025-04-02,44.13,Food,Lunch
2025-04-03,147.82,Transport,Fuel
2025-04-04,257.28,Food,Groceries
2025-04-05,189.84,Entertainment,Concert
2025-04-06,110.7,Utilities,Electricity Bill
2025-04-07,87.72,Transport,Bus
2025-04-08,75.49,Transport,Bus
2025-04-09,195.07,Transport,Bus
2025-04-10,95.29,Entertainment,Concert
2026-07-26,350.0,Food,Lunch
2026-07-26,500.0,Food,Dinner
2026-07-25,400.0,Entertainment,Movie
2026-07-24,400.0,Food,Dinner
2026-07-26,600.0,Utilities,Elec.Bill
